,Timestamp,S_M_10cm,S_M_45cm,S_M_80cm,Temperature,Humidity,Pressure,Luxes,Battery,Readings,Day,Date,Time
0,946684858,0.0,0.0,0.0,26.8,59.84,98476.39,270.0,0,0, Sun, 00/01/01, 00:00:58 
1,946684936,0.0,0.0,0.0,26.81,59.58,98484.25,307.0,0,1, Sun, 00/01/01, 00:02:16 
2,946685014,0.0,0.0,0.0,26.81,59.72,98478.51,328.0,0,2, Sun, 00/01/01, 00:03:34 
3,946685092,0.0,0.0,0.0,26.84,59.87,98479.62,329.0,0,3, Sun, 00/01/01, 00:04:52 
4,946685170,0.0,0.0,0.0,26.84,59.54,98479.35,329.0,0,4, Sun, 00/01/01, 00:06:10 
5,946685248,0.0,0.0,0.0,26.84,59.7,98475.80,330.0,0,5, Sun, 00/01/01, 00:07:28 
6,946685326,0.0,0.0,0.0,26.85,59.65,98482.06,333.0,0,6, Sun, 00/01/01, 00:08:46 
7,946685404,0.0,0.0,0.0,26.84,59.45,98486.68,333.0,0,7, Sun, 00/01/01, 00:10:04 
8,946685482,0.0,0.0,0.0,26.86,59.42,98478.51,335.0,0,8, Sun, 00/01/01, 00:11:22 
9,946685560,0.0,0.0,0.0,26.85,59.25,98488.31,336.0,0,9, Sun, 00/01/01, 00:12:40 
10,946685638,0.0,0.0,0.0,26.85,59.3,98482.06,337.0,0,10, Sun, 00/01/01, 00:13:58 
11,946685716,0.0,0.0,0.0,26.85,59.07,98477.44,337.0,0,11, Sun, 00/01/01, 00:15:16 
12,946685794,0.0,0.0,0.0,26.86,59.25,98478.22,338.0,0,12, Sun, 00/01/01, 00:16:34 
13,946685872,0.0,0.0,0.0,26.86,59.33,98473.60,341.0,0,13, Sun, 00/01/01, 00:17:52 
14,946685950,0.0,0.0,0.0,26.86,59.09,98479.02,343.0,0,14, Sun, 00/01/01, 00:19:10 
15,946686028,0.0,0.0,0.0,26.87,59.14,98481.75,345.0,0,15, Sun, 00/01/01, 00:20:28 
16,946686106,0.0,0.0,0.0,26.86,59.03,98476.62,347.0,0,16, Sun, 00/01/01, 00:21:46 
17,946686184,0.0,0.0,0.0,26.85,58.93,98477.14,349.0,0,17, Sun, 00/01/01, 00:23:04 
18,946686262,0.0,0.0,0.0,26.87,59.21,98477.14,351.0,0,18, Sun, 00/01/01, 00:24:22 
19,946686340,0.0,0.0,0.0,26.87,58.79,98475.24,352.0,0,19, Sun, 00/01/01, 00:25:40 
20,946686418,0.0,0.0,0.0,26.86,58.58,98475.24,353.0,1,20, Sun, 00/01/01, 00:26:58 
21,946686496,0.0,0.0,0.0,26.87,58.77,98466.25,354.0,1,21, Sun, 00/01/01, 00:28:16 
22,946686574,0.0,0.0,0.0,26.87,58.76,98467.08,354.0,1,22, Sun, 00/01/01, 00:29:34 
23,946686652,0.0,0.0,0.0,26.87,58.6,98468.98,354.0,2,23, Sun, 00/01/01, 00:30:52 
24,946686730,0.0,0.0,0.0,26.87,58.7,98465.14,354.0,2,24, Sun, 00/01/01, 00:32:10 
25,946686808,0.0,0.0,0.0,26.87,58.59,98470.58,354.0,2,25, Sun, 00/01/01, 00:33:28 
26,946686886,0.0,0.0,0.0,26.87,58.62,98464.36,353.0,3,26, Sun, 00/01/01, 00:34:46 
27,946686964,0.0,0.0,0.0,26.87,58.53,98463.52,352.0,3,27, Sun, 00/01/01, 00:36:04 
28,946687042,0.0,0.0,0.0,26.87,58.65,98464.36,351.0,3,28, Sun, 00/01/01, 00:37:22 
29,946687121,0.0,0.0,0.0,26.87,58.61,98461.64,351.0,4,29, Sun, 00/01/01, 00:38:41 
30,946687200,0.0,0.0,0.0,26.88,58.59,98465.98,352.0,4,30, Sun, 00/01/01, 00:40:00 
31,946687279,0.0,0.0,0.0,26.87,58.6,98460.52,353.0,4,31, Sun, 00/01/01, 00:41:19 
32,946687358,0.0,0.0,0.0,26.87,58.45,98455.90,353.0,5,32, Sun, 00/01/01, 00:42:38 
33,946687437,0.0,0.0,0.0,26.87,58.51,98455.90,353.0,5,33, Sun, 00/01/01, 00:43:57 
34,946687516,0.0,0.0,0.0,26.87,58.46,98463.25,354.0,5,34, Sun, 00/01/01, 00:45:16 
35,946687595,0.0,0.0,0.0,26.87,58.23,98459.70,354.0,5,35, Sun, 00/01/01, 00:46:35 
36,946687674,0.0,0.0,0.0,26.87,58.23,98458.90,355.0,6,36, Sun, 00/01/01, 00:47:54 
37,946687753,0.0,0.0,0.0,26.87,58.37,98458.90,356.0,6,37, Sun, 00/01/01, 00:49:13 
38,946687832,0.0,0.0,0.0,26.87,58.37,98456.20,356.0,6,38, Sun, 00/01/01, 00:50:32 
39,946687911,0.0,0.0,0.0,26.87,58.23,98453.48,355.0,6,39, Sun, 00/01/01, 00:51:51 
40,946687990,0.0,0.0,0.0,26.86,58.33,98449.94,355.0,3,40, Sun, 00/01/01, 00:53:10 
41,946688069,0.0,0.0,0.0,26.86,58.31,98446.40,356.0,7,41, Sun, 00/01/01, 00:54:29 
42,946688148,0.0,0.0,0.0,26.87,58.08,98439.06,357.0,7,42, Sun, 00/01/01, 00:55:48 
43,946688227,0.0,0.0,0.0,26.87,58.0,98442.60,357.0,7,43, Sun, 00/01/01, 00:57:07 
44,946688306,0.0,0.0,0.0,26.87,58.13,98448.02,355.0,8,44, Sun, 00/01/01, 00:58:26 
45,946688385,0.0,0.0,0.0,26.87,57.98,98441.78,352.0,8,45, Sun, 00/01/01, 00:59:45 
46,946688464,0.0,0.0,0.0,26.87,58.03,98441.78,351.0,8,46, Sun, 00/01/01, 01:01:04 
47,946688543,0.0,0.0,0.0,26.87,58.01,98441.78,350.0,8,47, Sun, 00/01/01, 01:02:23 
48,946688622,0.0,0.0,0.0,26.86,57.9,98437.15,350.0,9,48, Sun, 00/01/01, 01:03:42 
49,946688701,0.0,0.0,0.0,26.87,58.04,98439.88,351.0,9,49, Sun, 00/01/01, 01:05:01 
50,946688780,0.0,0.0,0.0,26.86,58.06,98430.08,353.0,7,50, Sun, 00/01/01, 01:06:20 
51,946688859,0.0,0.0,0.0,26.87,57.89,98435.51,355.0,9,51, Sun, 00/01/01, 01:07:39 
52,946688938,0.0,0.0,0.0,26.87,57.91,98430.90,358.0,10,52, Sun, 00/01/01, 01:08:58 
53,946689017,0.0,0.0,0.0,26.86,57.86,98438.25,360.0,11,53, Sun, 00/01/01, 01:10:17 
